"Plot","Girth","Height","Volume"
"P01",8.3,70,10.3
"P02",8.6,65,10.3
"P03",8.8,63,10.2
"P04",10.5,72,16.4
"P05",10.7,81,18.8
"P06",10.8,83,19.7
"P07",11,66,15.6
"P08",11,75,18.2
"P09",11.1,80,22.6
"P10",11.2,75,19.9
"P11",11.3,79,24.2
"P12",11.4,76,21
"P13",11.4,76,21.4
"P14",11.7,69,21.3
"P15",12,75,19.1
"P16",12.9,74,22.2
"P17",12.9,85,33.8
"P18",13.3,86,27.4
"P19",13.7,71,25.7
"P20",13.8,64,24.9
"P21",14,78,34.5
"P22",14.2,80,31.7
"P23",14.5,74,36.3
"P24",16,72,38.3
"P25",16.3,77,42.6
"P26",17.3,81,55.4
"P27",17.5,82,55.7
"P28",17.9,80,58.3
"P29",18,80,51.5
"P30",18,80,51
"P31",20.6,87,77
